FILTER,USERNAME,URL,TWEET,TIMESTAMP,,,,
x,dunyanetwork,https://pbs.twimg.com/media/BU7LHswCMAAFdGS.png,"If Afghan SIM used in blast, related firm will pay diat' #Pakistan #Dunyatv http://t.co/s3xer21YjK",2013-09-24T11:29:35.000Z,,,,:
x,Medispa777,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"RT @censorednewsnow: #OccupyTheBanks - Let's ROLL!: #PAKISTAN TV HEARS THE WHITE RABBIT #OBAMA OSAMA KILL ""HOAX"" #US #CIA #PSYOPS http://t._¢‚Ç¨¬¶",2013-09-24T11:29:35.000Z,,,,:
x,Madina_e_Sani,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,Video | #Kashmir Prime Minister Pledges Full #Pakistan Support | http://t.co/lcCE6CUGej #YFK @kashmir4pak,2013-09-24T11:29:07.000Z,,,,:
x,mumairdabeer,https://pbs.twimg.com/media/BU7LHswCMAAFdGS.png,RT @Kali_Ghata: Jamia tul Islamia Al-Nust ! New name for #Nust #Pakistan #Islamabad,2013-09-24T11:30:02.000Z,Sindh,Pakistan,67.0822,24.9056:
x,KhabarKiDUNYA,https://pbs.twimg.com/media/BU6TLRbCEAAZqu8.jpg,#ArmyChief calls on #President Mamnoon #PMLN #Pakistan #Dunyatv http://t.co/35lxnfkqEE _¢‚Ç¨¬¶,2013-09-24T11:30:24.000Z,,Pakistan,70,30.0:
x,SportsNews_Roy,https://pbs.twimg.com/media/BU7LHswCMAAFdGS.png,RT @DailyMuballigh: #Pakistan #UrduNews _ö¬Ø_ò¬±_ò¬¨_ò¬ß _ö¬Ø_ö¬æ_ò¬± _ô¬æ_ò¬± _ò¬__ô‚Ä¶_ô‚Äû_õ¬Å _ô¬æ_ò¬ß_ö¬©_ò¬__ò¬™_ò¬ß_ô‚Ä† _ö¬©_ôÀÜ _ò¬®_ò¬Ø_ô‚Ä†_ò¬ß_ô‚Ä¶ _ö¬©_ò¬±_ô‚Ä†_õ‚Äô _ö¬©_õ_í _ò¬__ò¬ß_ò¬__ò¬¥ _õ¬Å_õ‚Äô _ò_í_ö¬Ø_ôÀÜ_ò¬±_ô‚Ä†_ò¬± _ô¬æ_ô‚Ä†_ò¬¨_ò¬ß_ò¬® http://t.co/xOD1jAFuor,2013-09-24T11:33:46.000Z,Sindh,Pakistan,67.0822,24.9056:
x,elenanunzio,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @AlMonitor: #Hezbollah believes #Saudi's Bandar bin Sultan is behind string of bombings from #Pakistan to #Lebanon @alihashem_tv http://_¢‚Ç¨¬¶,2013-09-24T11:33:05.000Z,,,,:
x,PakistanFeed,https://scontent-a-ord.xx.fbcdn.net/hphotos-prn2/q71/1234336_463884240391633_1340687749_n.jpg,"Ahead of UN Summit, Hopes for an India-Pakistan Meeting - Voice of America | http://t.co/4ayhO0WBt3 | #Pakistan",2013-09-24T11:34:06.000Z,,,,:
x,burhaan,https://scontent-a-ord.xx.fbcdn.net/hphotos-prn1/q71/1238271_463884347058289_1416732875_n.jpg,Whoa! Godzilla makes his move #karachi #earthquake,2013-09-24T11:34:55.000Z,,Pakistan,70,30.0:
x,Ramiz_Hasan,https://pbs.twimg.com/media/BU4ahhKCEAAHVkg.jpg,RT @aurAdil: Heavy #Earthquake Jolts felt in Nazimabad #Karachi  Duration approx 7-10 seconds. Building evacuated.,2013-09-24T11:35:26.000Z,Calabarzon,Philippines,121.07654,14.30506:
x,EarthquakesData,https://scontent-b-ord.xx.fbcdn.net/hphotos-prn2/q71/9638_463884450391612_391996313_n.jpg,"#Earthquake at 21km W of Cohoe, Alaska 2.6 M. Detph 93.0 Km. - 2013-09-24 13:25:22 UTChttp://t.co/xu1PWVERo1",2013-09-24T11:35:04.000Z,,,,:
x,samimagoon,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,#earthquake,2013-09-24T11:35:54.000Z,Sindh,Pakistan,67.0822,24.9056:
x,Takhaan,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,I feel - #EarthQuake,2013-09-24T11:35:35.000Z,,,,:
x,GhareeboAjeeb,https://pbs.twimg.com/media/BU2BkhyCYAElVgG.jpg,Mae abhi bathroom janay hi wala tha. Bach gaya bc.#Earthquake,2013-09-24T11:36:06.000Z,Sindh,Pakistan,67.0822,24.9056:
x,kapilohri,https://pbs.twimg.com/media/BU4ahhKCEAAHVkg.jpg,#earthquake,2013-09-24T11:36:05.000Z,NCT,India,77.22445,28.63576:
x,bhskr,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn1/q71/1238288_463884727058251_197603499_n.jpg,Felt tremors. #Earthquake #Ggn #NewDelhi. Confirmed.,2013-09-24T11:36:48.000Z,Haryana,India,77.02635,28.4601:
x,shrinewstv,https://pbs.twimg.com/media/BU7LHswCMAAFdGS.png,#Breakingnews - _†¬§¬¶_†¬§¬ø_†¬§¬__†¬•¬ç_†¬§¬__†¬•‚Ç¨-_†¬§¬è_†¬§¬®_†¬§¬__†¬•‚Ç¨_†¬§‚Ä†_†¬§¬_ _†¬§¬Æ_†¬•‚Ä°_†¬§‚Äö _†¬§¬__†¬•‚Äö_†¬§‚Ä¢_†¬§‚Äö_†¬§¬™ _†¬§‚Ä¢_†¬•‚Ä° _†¬§¬ù_†¬§___†¬§‚Ä¢_†¬•‚Ä° #earthquake#Shrinews   http://t.co/R0LCCwBnu1,2013-09-24T11:39:31.000Z,Uttar Pradesh,India,77.53601,28.49615:
x,CalamitousOne,https://pbs.twimg.com/media/BU7N1HKCEAA2onU.jpg,#Earthquake in #Karachi #Quetta #Delhi #Pakistan #India,2013-09-24T11:39:27.000Z,,,,:
x,Xplore_Pakistan,https://pbs.twimg.com/media/BU7N5veCcAAY81d.jpg,"#Pakistan #Tourism #Travel Dunlin at RSPB Leighton Moss in Lancashire, England - September... #Photography http://t.co/jGHdzzB4We",2013-09-24T11:39:29.000Z,,,,:
