taskid,tweetid,text,date,username,category,taskCompletionTime
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406827,399062977619308544,iTunes:Cambodia Rosalind Ki?Ro?Ku http://t.co/pDvvMfJVSx #????? #cambodia #?????? #sougofollow,2013-11-09 06:36:42,kocambodia,Not Relevant / Skip / RTs,2013-11-11T04:28:34.642664
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406828,399062992634925056,Other country: weapon vs. foodPhilippines: weapon vs. Napoles :D :D,2013-11-09 06:36:46,BYEesther_,Not Relevant / Skip / RTs,2013-11-11T04:28:35.042796
406829,399063023769223168,"@DayanaraPR I'm so touched, until now u have not forgotten the Philippines. my favorite #missuniverse PR '93. thank you & we always love u",2013-11-09 06:36:53,saijo3,Not Relevant / Skip / RTs,2013-11-11T04:28:35.454369
