taskid,tweetid,text,date,username,category,taskCompletionTime
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Relevant but Other,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Relevant but Other,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Relevant but Other,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393682,398615677860196353,As per PAGASA the storm is now travelling at 270km/hr... seryezly? #YolandaPH cebu,Fri Nov 08 00:59:18 +0000 2013,malshania,Not Relevant / Skip / RTs,2013-11-08T17:31:27.564735
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Relevant but Other,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Relevant but Other,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393683,398615701856206848,"If you pray, pray for the Philippines; this storm will kill hundreds of people &amp; dwarf any storm to ever hit land, ever #typhoon",Fri Nov 08 00:59:23 +0000 2013,Shoey2100,Not Relevant / Skip / RTs,2013-11-08T17:31:31.569804
393684,398615809427132416,"Downtown Tacloban Leyte image, #YolandaPH #Haiyan #YolandaUpdates #Philippines (image via @atomaraullo) http://t.co/u7SNTIrNum",Fri Nov 08 00:59:49 +0000 2013,mylenebass,Not Relevant / Skip / RTs,2013-11-08T17:31:32.968767
393684,398615809427132416,"Downtown Tacloban Leyte image, #YolandaPH #Haiyan #YolandaUpdates #Philippines (image via @atomaraullo) http://t.co/u7SNTIrNum",Fri Nov 08 00:59:49 +0000 2013,mylenebass,Relevant but Other,2013-11-08T17:31:32.968767
393684,398615809427132416,"Downtown Tacloban Leyte image, #YolandaPH #Haiyan #YolandaUpdates #Philippines (image via @atomaraullo) http://t.co/u7SNTIrNum",Fri Nov 08 00:59:49 +0000 2013,mylenebass,Not Relevant / Skip / RTs,2013-11-08T17:31:32.968767
