tweetid,text,date,username,userid
id,
2.76E17, @loraine_jan @jazeltanghian @iamNurseharbee #helpMonkayo #PabloPH #ReliefPH http://t.co/1ShQqf2p, Wed Dec 05 11:06:27 CET 2012, tintinongbay,419198996
2.76E17,  @vc2riousLei: Flooding and damaged houses in Agusan Sur. Photo taken by Arlo Ramos @WorldVisionPh staff. @YouScoopGMA #PabloPh  http ..., Wed Dec 05 11:06:37 CET 2012, quillpaperink44,196615830
2.76E17, Typhoon #Bopha death toll rises http://t.co/3q4ZhILh, Wed Dec 05 11:06:57 CET 2012, Thomasvanbrun,467278256
2.76E17,  @vc2riousLei: Houses with no roofs in Agusan Sur. Photo by Arlo Ramos @WorldVisionPh staff. @YouScoopGMA #PabloPh #Bopha http://t.co ..., Wed Dec 05 11:07:21 CET 2012, quillpaperink44,196615830
2.76E17, No signs of typhoon #PabloPH today in Bacolod. It's been very sunny all day long. @gmanews  http://t.co/TQdMKzTh, Wed Dec 05 11:07:39 CET 2012, imthekhooluist,161173196
2.76E17, [NEWS] US laments 'devastation loss of life' from #PabloPH | Read: http://t.co/Bffcx0U4, Wed Dec 05 11:08:12 CET 2012, CheckPHWEATHER,886167799
2.76E17, Also by the Phil Army's 701st Infantry Brigade taken in Baganga Davao Oriental #PabloPH http://t.co/EAoYK6U2, Wed Dec 05 11:09:50 CET 2012, aquino_tricia,581890570
2.76E17," ""@rapplerdotcom: Underground River closed but 'Pablo' avoids Puerto Princesa http://t.co/nc5IJkiZ #PabloPH"" tama yng ginawa mo Pablo!ãƒ„", Wed Dec 05 11:10:09 CET 2012, augustmah,988620254
2.76E17,  @sahnetaeter: Missing beloved ones after #typhoon #Pablo? @google launched person finder http://t.co/a2X54Jwe #bopha #reliefPH #hmrd, Wed Dec 05 11:10:39 CET 2012, pnsidh,86921800
2.76E17, Local disaster councils conducts damage and needs assessmenthttp://t.co/B1zvXpze #PabloPH, Wed Dec 05 11:10:46 CET 2012, PIANewsDesk,525171812
2.76E17, [RAPPLER] US laments 'devastation loss of life' from #PabloPH | MANILA Philippines - The United States government ... http://t.co/ztK9KXkQ, Wed Dec 05 11:10:52 CET 2012, CheckPHOnline,979490221
2.76E17, Typhon aux #Philippines : le bilan s'alourdit au moins 228 morts #Bopha | http://t.co/ryEfRoit, Wed Dec 05 11:11:45 CET 2012, atlantico_fr,185167847
2.76E17, â€œ@TIME: More than 200 killed in the Philippines by Typhoon #Bopha | http://t.co/shZW8EsM  (via @TIMEWorld)â€ù, Wed Dec 05 11:12:34 CET 2012, KELVINator001,862660350
2.76E17, Google provides support in the #Philippines w/ crisis response map 4 typhoon #Pablo #Bopha http://t.co/mJCNBHAJ #DRM #ICT #EmergencyResponse, Wed Dec 05 11:13:18 CET 2012, drippingmind,449077875
