taskid,tweetid,text,date,username,category
389042,398534419751133184,RT @twc_hurricane: Latest advisory from JTWC: Max. sustained winds in #Haiyan now 195 mph.,Thu Nov 07 19:36:24 +0000 2013,Needtoknow12345,Relevant but Other
389042,398534419751133184,RT @twc_hurricane: Latest advisory from JTWC: Max. sustained winds in #Haiyan now 195 mph.,Thu Nov 07 19:36:24 +0000 2013,Needtoknow12345,Relevant but Other
389042,398534419751133184,RT @twc_hurricane: Latest advisory from JTWC: Max. sustained winds in #Haiyan now 195 mph.,Thu Nov 07 19:36:24 +0000 2013,Needtoknow12345,Not Relevant / Skip
389042,398534419751133184,RT @twc_hurricane: Latest advisory from JTWC: Max. sustained winds in #Haiyan now 195 mph.,Thu Nov 07 19:36:24 +0000 2013,Needtoknow12345,Not Relevant / Skip
389042,398534419751133184,RT @twc_hurricane: Latest advisory from JTWC: Max. sustained winds in #Haiyan now 195 mph.,Thu Nov 07 19:36:24 +0000 2013,Needtoknow12345,Relevant but Other
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Relevant but Other
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Not Relevant / Skip
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Not Relevant / Skip
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Relevant but Other
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Relevant but Other
389043,398534428122963968,"RT @WCL_Shawn: NEW: With estimated sustained wind of 190 mph, no Atlantic #hurricane has ever been stronger than Super Typhoon #Haiyan.",Thu Nov 07 19:36:26 +0000 2013,Thehairyhaggis,Relevant but Other
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Relevant but Other
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Not Relevant / Skip
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Not Relevant / Skip
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Relevant but Other
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Relevant but Other
389044,398534437107146753,"RT @dost_pagasa: Hourly Update: #YolandaPH (03AM November 8, 2013) The eye of Typhoon “YOLANDA” was located at 90 km Southeast... http://t…",Thu Nov 07 19:36:28 +0000 2013,AntipoloPH,Relevant but Other
389045,398534440030179328,I can't sleep..waiting for more updates of #YolandaPH..be safe madlang pipol..,Thu Nov 07 19:36:29 +0000 2013,jielyn26,Relevant but Other
389045,398534440030179328,I can't sleep..waiting for more updates of #YolandaPH..be safe madlang pipol..,Thu Nov 07 19:36:29 +0000 2013,jielyn26,Not Relevant / Skip
389045,398534440030179328,I can't sleep..waiting for more updates of #YolandaPH..be safe madlang pipol..,Thu Nov 07 19:36:29 +0000 2013,jielyn26,Not Relevant / Skip
389045,398534440030179328,I can't sleep..waiting for more updates of #YolandaPH..be safe madlang pipol..,Thu Nov 07 19:36:29 +0000 2013,jielyn26,Relevant but Other
389045,398534440030179328,I can't sleep..waiting for more updates of #YolandaPH..be safe madlang pipol..,Thu Nov 07 19:36:29 +0000 2013,jielyn26,Not Relevant / Skip
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Not Relevant / Skip
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Not Relevant / Skip
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Not English
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Not English
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389046,398534445054980096,"RT @gmanews: Issued at 3:00AM: The eye of Typhoon #YolandaPH was located at 90 km Southeast Guiuan, Eastern Samar. | via @dost_pagasa",Thu Nov 07 19:36:30 +0000 2013,_urssndgn,Relevant but Other
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Relevant but Other
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Not Relevant / Skip
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Not Relevant / Skip
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Relevant but Other
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Relevant but Other
389047,398534445445025792,Frightening image - Super Typhoon Haiyan Approaches the Philippines http://t.co/7PGy0vVa4u #weather #typhoon #haiyan,Thu Nov 07 19:36:30 +0000 2013,rspix,Not Relevant / Skip
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Infrastructure Damage
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Not Relevant / Skip
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Not Relevant / Skip
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Relevant but Other
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Relevant but Other
389048,398534447022080000,RT @manila_bulletin: Signal #2 raised within Metro Manila. #YolandaPH http://t.co/w7W9UJ7ptz,Thu Nov 07 19:36:31 +0000 2013,Carlabacani,Relevant but Other
389049,398534452734742528,RT @DepEd_PH: Reminder: Suspensions are declared by the LGU. Here are the guidelines on automatic class suspension. #walangpasok http://t.c…,Thu Nov 07 19:36:32 +0000 2013,onlywilmer,Relevant but Other
389049,398534452734742528,RT @DepEd_PH: Reminder: Suspensions are declared by the LGU. Here are the guidelines on automatic class suspension. #walangpasok http://t.c…,Thu Nov 07 19:36:32 +0000 2013,onlywilmer,Not Relevant / Skip
389049,398534452734742528,RT @DepEd_PH: Reminder: Suspensions are declared by the LGU. Here are the guidelines on automatic class suspension. #walangpasok http://t.c…,Thu Nov 07 19:36:32 +0000 2013,onlywilmer,Not Relevant / Skip
389049,398534452734742528,RT @DepEd_PH: Reminder: Suspensions are declared by the LGU. Here are the guidelines on automatic class suspension. #walangpasok http://t.c…,Thu Nov 07 19:36:32 +0000 2013,onlywilmer,Relevant but Other
389049,398534452734742528,RT @DepEd_PH: Reminder: Suspensions are declared by the LGU. Here are the guidelines on automatic class suspension. #walangpasok http://t.c…,Thu Nov 07 19:36:32 +0000 2013,onlywilmer,Relevant but Other
389050,398534465670369280,RT @aquayuni: Atrocities by Military of South Korea are still remembered in #Vietnam #comfortwomen #Glendale #Milpitas http://t.co/aaNWJqAs…,Thu Nov 07 19:36:35 +0000 2013,PakkuRareman,Not Relevant / Skip
389050,398534465670369280,RT @aquayuni: Atrocities by Military of South Korea are still remembered in #Vietnam #comfortwomen #Glendale #Milpitas http://t.co/aaNWJqAs…,Thu Nov 07 19:36:35 +0000 2013,PakkuRareman,Not Relevant / Skip
389050,398534465670369280,RT @aquayuni: Atrocities by Military of South Korea are still remembered in #Vietnam #comfortwomen #Glendale #Milpitas http://t.co/aaNWJqAs…,Thu Nov 07 19:36:35 +0000 2013,PakkuRareman,Not Relevant / Skip
389050,398534465670369280,RT @aquayuni: Atrocities by Military of South Korea are still remembered in #Vietnam #comfortwomen #Glendale #Milpitas http://t.co/aaNWJqAs…,Thu Nov 07 19:36:35 +0000 2013,PakkuRareman,Not Relevant / Skip
389050,398534465670369280,RT @aquayuni: Atrocities by Military of South Korea are still remembered in #Vietnam #comfortwomen #Glendale #Milpitas http://t.co/aaNWJqAs…,Thu Nov 07 19:36:35 +0000 2013,PakkuRareman,Not Relevant / Skip
389051,398534472670248960,Severe Weather Bulletin 5A (Intermediate) Tropical cyclone warning: Typhoon “#YolandaPH” (HAIYAN) Issued at... http://t.co/UqvLMoY4dH,Thu Nov 07 19:36:37 +0000 2013,GMAWeather,Relevant but Other
389051,398534472670248960,Severe Weather Bulletin 5A (Intermediate) Tropical cyclone warning: Typhoon “#YolandaPH” (HAIYAN) Issued at... http://t.co/UqvLMoY4dH,Thu Nov 07 19:36:37 +0000 2013,GMAWeather,Not Relevant / Skip
389051,398534472670248960,Severe Weather Bulletin 5A (Intermediate) Tropical cyclone warning: Typhoon “#YolandaPH” (HAIYAN) Issued at... http://t.co/UqvLMoY4dH,Thu Nov 07 19:36:37 +0000 2013,GMAWeather,Not Relevant / Skip
