taskid,tweetid,text,date,username,category,taskCompletionTime
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Relevant but Other,2013-11-12T15:36:56.573629
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Not Relevant / Skip / RTs,2013-11-12T15:36:56.573629
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Not Relevant / Skip / RTs,2013-11-12T15:36:56.573629
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Not Relevant / Skip / RTs,2013-11-12T15:36:56.573629
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Not Relevant / Skip / RTs,2013-11-12T15:36:56.573629
418918,400086264017203201,".Thought Balloon: ""Motherhood statements of plan of action from a local govt offl. Stated facts long established by others."" #yolandaPH",2013-11-12 02:22:53,tatancast,Not Relevant / Skip / RTs,2013-11-12T15:36:56.573629
418919,400086267993415680,http://t.co/KFNuOvSKv6\News Update on Philippines and Typhoon Haiyan.,2013-11-12 02:22:54,TheUltimate411,Relevant but Other,2013-11-12T15:36:57.553483
418919,400086267993415680,http://t.co/KFNuOvSKv6\News Update on Philippines and Typhoon Haiyan.,2013-11-12 02:22:54,TheUltimate411,Not Relevant / Skip / RTs,2013-11-12T15:36:57.553483
418919,400086267993415680,http://t.co/KFNuOvSKv6\News Update on Philippines and Typhoon Haiyan.,2013-11-12 02:22:54,TheUltimate411,Relevant but Other,2013-11-12T15:36:57.553483
418919,400086267993415680,http://t.co/KFNuOvSKv6\News Update on Philippines and Typhoon Haiyan.,2013-11-12 02:22:54,TheUltimate411,Relevant but Other,2013-11-12T15:36:57.553483
418919,400086267993415680,http://t.co/KFNuOvSKv6\News Update on Philippines and Typhoon Haiyan.,2013-11-12 02:22:54,TheUltimate411,Relevant but Other,2013-11-12T15:36:57.553483
418920,400086279146053632,A 20 foot storm surge. That's just terrifying. Makes me want to pick up and move to Kansas or something. #Maddow #Haiyan,2013-11-12 02:22:56,vonnie_bee,Not Relevant / Skip / RTs,2013-11-12T15:36:58.929614
418920,400086279146053632,A 20 foot storm surge. That's just terrifying. Makes me want to pick up and move to Kansas or something. #Maddow #Haiyan,2013-11-12 02:22:56,vonnie_bee,Relevant but Other,2013-11-12T15:36:58.929614
418920,400086279146053632,A 20 foot storm surge. That's just terrifying. Makes me want to pick up and move to Kansas or something. #Maddow #Haiyan,2013-11-12 02:22:56,vonnie_bee,Not Relevant / Skip / RTs,2013-11-12T15:36:58.929614
418920,400086279146053632,A 20 foot storm surge. That's just terrifying. Makes me want to pick up and move to Kansas or something. #Maddow #Haiyan,2013-11-12 02:22:56,vonnie_bee,Relevant but Other,2013-11-12T15:36:58.929614
418920,400086279146053632,A 20 foot storm surge. That's just terrifying. Makes me want to pick up and move to Kansas or something. #Maddow #Haiyan,2013-11-12 02:22:56,vonnie_bee,Not Relevant / Skip / RTs,2013-11-12T15:36:58.929614
418921,400086294102958080,WOW.. lady or her husband work for GOVT #Philippines they are saying a 200mph Typhoon they did not expect waves.. what? #nocommonsense,2013-11-12 02:23:00,SportingBecky,Not Relevant / Skip / RTs,2013-11-12T15:36:59.284758
418921,400086294102958080,WOW.. lady or her husband work for GOVT #Philippines they are saying a 200mph Typhoon they did not expect waves.. what? #nocommonsense,2013-11-12 02:23:00,SportingBecky,Relevant but Other,2013-11-12T15:36:59.284758
418921,400086294102958080,WOW.. lady or her husband work for GOVT #Philippines they are saying a 200mph Typhoon they did not expect waves.. what? #nocommonsense,2013-11-12 02:23:00,SportingBecky,Not Relevant / Skip / RTs,2013-11-12T15:36:59.284758
418921,400086294102958080,WOW.. lady or her husband work for GOVT #Philippines they are saying a 200mph Typhoon they did not expect waves.. what? #nocommonsense,2013-11-12 02:23:00,SportingBecky,Relevant but Other,2013-11-12T15:36:59.284758
