TWEETID,TIMESTAMP,Min,Sec,URL,LAT,LONG
336620940165255168,2013-05-20 23,14,20,be0fZsFacdc,38.89,-77.02
336620969005301760,2013-05-20 23,14,27,40fon8AEYII,29.43,-98.49
336621007227981824,2013-05-20 23,14,36,AXz1_F88n14,33.52,-86.82
336621017680207872,2013-05-20 23,14,39,Mql69v8-bjU,26.72,-80.05
336621038559444992,2013-05-20 23,14,44,40fon8AEYII,35.54,-98.69
336621091688677376,2013-05-20 23,14,57,HbyyIjss13w,38.84,-104.82
336621151247806466,2013-05-20 23,15,11,525xrI009qQ,41.14,-73.26
336621176451371010,2013-05-20 23,15,17,40fon8AEYII,-33.87,151.21
336621609383243777,2013-05-20 23,17,00,Tn14Vvp2LBY,31.24,-92.15
336621621609652225,2013-05-20 23,17,03,AXz1_F88n14,52.96,-1.15
336621690526248962,2013-05-20 23,17,19,40fon8AEYII,33.75,-84.39
336621768108277761,2013-05-20 23,17,38,AXz1_F88n14,52.96,-1.15
336621795006365696,2013-05-20 23,17,44,jILSdJJ0C5A,27.66,-81.52
336621799838195712,2013-05-20 23,17,45,JZLnGr8TRrE,43.67,-79.39
336621902015627265,2013-05-20 23,18,10,AXz1_F88n14,32.72,-117.16
336621904460931072,2013-05-20 23,18,10,be0fZsFacdc,38.89,-77.02
336621935888838656,2013-05-20 23,18,18,40fon8AEYII,59.33,18.06

